coin_id,pred,signal,mcap
PHAUSDT,0.026683356809615734,long,1338530.4423
WLDUSDT,0.02138797592875497,long,9708252.696
RENDERUSDT,0.02059054104810783,long,2197261.8274700004
NEARUSDT,0.02030264043161642,long,28920442.417
FETUSDT,0.015484212453629534,long,5461139.4469
ALTUSDT,0.013790664250246446,long,3015232.4128
TRXUSDT,0.012508825320609984,long,3814080.5369399996
INJUSDT,0.011734824281832229,neutral,1434200.64837
USDCUSDT,0.01074203043916715,neutral,222705694.15660998
ONDOUSDT,0.010433761646374719,neutral,2120698.4136
EURUSDT,0.00871788642027026,neutral,10912715.354389999
USD1USDT,0.008308387793865528,neutral,20472772.3252
VIRTUALUSDT,0.007791295638297584,neutral,1720756.3857399998
SAHARAUSDT,0.0076037500647037634,neutral,1688941.5913200001
ZECUSDT,0.007076732985224267,neutral,22037762.3683
SEIUSDT,0.006683973580243456,neutral,4142712.069365
XUSDUSDT,0.005562243522116309,neutral,3005462.2320000003
FDUSDUSDT,0.004836974274929918,neutral,9026611.742
SUIUSDT,0.004291619179317214,neutral,6713063.5437199995
OSMOUSDT,0.004260629504511814,neutral,2264273.528989
TAOUSDT,0.003780803953561558,neutral,3876195.3293399997
BNBUSDT,0.0034004347300768817,neutral,5325984.1021
DASHUSDT,0.0033188506622135712,neutral,1092886.5770400001
ICPUSDT,0.003198018769036786,neutral,1413881.45638
FILUSDT,0.0030490564207555247,neutral,4280293.461599999
AVAXUSDT,0.00193192329141963,neutral,1262074.7858
SOLUSDT,0.0012913110431332147,neutral,10704590.22906
LUNCUSDT,0.001180929182782192,neutral,2745026.546165855
BTCUSDT,0.0010958980359610472,neutral,137129850.9392279
LINKUSDT,0.0009984767970080263,neutral,1601840.42448
ADAUSDT,0.0007632550427489225,neutral,1963336.9072500002
XRPUSDT,0.0005907779435427299,short,8175093.38526
TONUSDT,0.0005268930883633232,short,2097277.73223
ETHUSDT,0.0004889820426089474,short,35191690.128243
0GUSDT,-0.0007838874212719943,short,1091926.536
PAXGUSDT,-0.0015082917460608634,short,1171680.178044
DOGEUSDT,-0.0026857288955655567,short,3586818.30479
PEPEUSDT,-0.0033485219170185957,short,1896669.47467204
