week,date,long_ret,short_ret,ctrend_ret,n_coins,n_long,n_short,n_cols
202053,2021-01-01,0.31404920327042424,0.38959938614977646,-0.07555018287935222,63,13,13,24
202101,2021-01-08,-0.07440912250030011,0.0036463258405289973,-0.07805544834082911,75,15,15,24
202102,2021-01-15,0.17388144578764494,-0.01711496737211831,0.19099641315976326,76,16,16,24
202103,2021-01-22,0.08371702769146473,0.14110736400617716,-0.05739033631471242,73,15,15,24
202104,2021-01-29,0.06768027512854967,0.10113414086297365,-0.03345386573442398,77,16,16,24
202105,2021-02-05,0.45978961380759753,0.17968811937408802,0.2801014944335095,81,17,17,24
202106,2021-02-12,-0.010406080745046623,0.1339508345339278,-0.14435691527897443,82,17,17,24
202107,2021-02-19,-0.2966424509061398,-0.12022233956290992,-0.17642011134322985,82,17,17,24
202108,2021-02-26,-0.03218280217782068,0.0509729107475975,-0.08315571292541818,80,16,16,26
202109,2021-03-05,1.1410207334794333,0.056659169754483915,1.0843615637249495,79,16,16,26
202110,2021-03-12,-0.08463522997694128,0.1285123400824758,-0.2131475700594171,80,16,16,26
202111,2021-03-19,0.0006437219147580886,-0.05325081123861106,0.053894533153369145,80,16,16,26
202112,2021-03-26,0.22751399855457147,0.17319362600304242,0.05432037255152905,81,17,17,26
202113,2021-04-02,0.011967643789445755,-0.001965784200836811,0.013933427990282566,82,17,17,26
202114,2021-04-09,0.2715331882531716,0.12002430740155283,0.15150888085161873,81,17,17,26
202115,2021-04-16,-0.30606716089324787,-0.04193941080039459,-0.2641277500928533,83,17,17,26
202116,2021-04-23,0.12987621740068828,0.4734132400722963,-0.343537022671608,83,17,17,26
202117,2021-04-30,0.13293102452699831,0.13293102452699831,0.0,85,85,85,26
202118,2021-05-07,-0.07249870464149183,-0.07249870464149183,0.0,85,85,85,26
202119,2021-05-14,-0.3599761150323258,-0.26482009221004243,-0.09515602282228336,86,18,18,26
202120,2021-05-21,-0.02719681579184438,-0.13057319482177945,0.10337637902993507,86,18,18,26
202121,2021-05-28,0.029623435584904146,0.11749519179742743,-0.08787175621252329,86,18,18,26
202122,2021-06-04,-0.1215119019470666,-0.11690264605141604,-0.00460925589565056,87,18,18,26
202123,2021-06-11,-0.029170767769362786,0.023400713565824696,-0.05257148133518748,87,18,18,26
202124,2021-06-18,-0.12278085334463763,-0.24613346602527575,0.12335261268063812,89,18,18,26
202125,2021-06-25,0.08655589419749804,0.05809601137564901,0.028459882821849032,91,19,19,26
202126,2021-07-02,0.012765791986574347,-0.012312981733856521,0.025078773720430866,91,19,19,26
202127,2021-07-09,0.012327505167436947,-0.15870299740431762,0.17103050257175456,92,19,19,26
202128,2021-07-16,0.3829833013722997,0.049999351578151434,0.33298394979414825,93,19,19,26
202129,2021-07-23,0.09326588852919972,0.2292852651670488,-0.13601937663784908,93,19,19,26
202130,2021-07-30,0.013431291867493277,0.021545964930404473,-0.008114673062911196,95,19,19,26
202131,2021-08-06,0.3240425880000001,0.15731764714556523,0.16672494085443484,95,19,19,26
202132,2021-08-13,0.09283099071497615,-0.0026934440429781078,0.09552443475795426,96,20,20,26
202133,2021-08-20,0.09704541607085665,0.02134551181593924,0.0756999042549174,98,20,20,26
202134,2021-08-27,0.11787585651651673,0.0713894635552668,0.04648639296124993,99,20,20,26
202135,2021-09-03,-0.00837293052650569,-0.06131135988927233,0.052938429362766645,99,20,20,26
202136,2021-09-10,-0.023732593933737015,0.04154749198570998,-0.06528008591944699,100,20,20,26
202137,2021-09-17,-0.04160379757722798,-0.14356335715807805,0.10195955958085007,100,20,20,26
202138,2021-09-24,0.051773681225177774,0.12180210312875184,-0.07002842190357406,101,21,21,26
202139,2021-10-01,0.0998736150716849,0.0520190583456098,0.04785455672607511,103,21,21,26
202140,2021-10-08,-0.007679775124168988,-0.03060312242177631,0.02292334729760732,104,21,21,26
202141,2021-10-15,0.0077186147340502715,0.032915613210677035,-0.025196998476626764,105,21,21,26
202142,2021-10-22,0.14978170725900639,-0.038496761986424904,0.1882784692454313,105,21,21,26
202143,2021-10-29,-0.021324521487016124,0.004165584059034213,-0.025490105546050336,103,21,21,26
202144,2021-11-05,-0.04309275874111433,0.01240383472044092,-0.05549659346155525,106,22,22,26
202145,2021-11-12,0.028654838124453432,-0.10372628254317472,0.13238112066762814,107,22,22,26
202146,2021-11-19,0.1931872980241503,-0.020228999448854555,0.21341629747300486,110,22,22,26
202147,2021-11-26,-0.13665889823271912,0.023723908435800842,-0.16038280666851995,111,23,23,26
202148,2021-12-03,-0.2230167208168269,-0.2038981357558521,-0.019118585060974802,111,23,23,26
202149,2021-12-10,-0.0031166590972145068,-0.0179712881054741,0.014854629008259594,111,23,23,26
202150,2021-12-17,0.12999096589039097,0.1620037862967335,-0.03201282040634254,115,23,23,26
202151,2021-12-24,-0.03460748336391437,-0.06094302864252361,0.026335545278609235,115,23,23,26
202152,2021-12-31,-0.060678050954750894,-0.1172479499705653,0.056569899015814405,109,22,22,26
202201,2022-01-07,0.0705790603307806,0.04060417307504114,0.029974887255739456,116,24,24,26
202202,2022-01-14,-0.25648998122763594,-0.2935870705123529,0.037097089284716944,114,23,23,26
202203,2022-01-21,-0.1016665978359062,-0.030262402421635238,-0.07140419541427097,116,24,24,26
202204,2022-01-28,0.05497375376326145,0.16069729607069796,-0.10572354230743652,106,22,22,26
202205,2022-02-04,-0.0025994864579895584,0.16547326834245796,-0.1680727548004475,118,24,24,26
202206,2022-02-11,-0.0612450442385179,-0.03718892959544251,-0.024056114643075388,117,24,24,26
202207,2022-02-18,-0.03921106983079578,-0.08902762050087781,0.04981655067008203,117,24,24,26
202208,2022-02-25,-0.01649692723910947,-0.0301989208301328,0.01370199359102333,116,24,24,26
202209,2022-03-04,-0.0010800395359006343,-0.02735299180951764,0.026272952273617006,119,24,24,26
202210,2022-03-11,0.016047771824020115,0.05344758503692025,-0.03739981321290013,123,25,25,26
202211,2022-03-18,0.005341024574501899,0.03532400344133457,-0.029982978866832675,121,25,25,26
202212,2022-03-25,0.04596700241501673,0.05906086971218319,-0.01309386729716646,125,25,25,26
202213,2022-04-01,-0.15656585417027138,-0.05528039699856012,-0.10128545717171127,130,26,26,26
202214,2022-04-08,-0.0394366491645521,-0.05370246141979378,0.014265812255241685,129,26,26,26
202215,2022-04-15,-0.04258744885020637,0.07714819793616264,-0.119735646786369,121,25,25,26
202216,2022-04-22,-0.055846500477169596,-0.12315406944945921,0.06730756897228962,125,25,25,26
202217,2022-04-29,-0.03492288478247052,-0.11764073262034076,0.08271784783787024,126,26,26,26
202218,2022-05-06,-0.2886347550973564,-0.19591085764917082,-0.0927238974481856,128,26,26,26
202219,2022-05-13,-0.011039871879260256,0.08598103230701268,-0.09702090418627293,131,27,27,26
202220,2022-05-20,-0.01237930039698695,-0.077262784338816,0.06488348394182905,124,25,25,26
202221,2022-05-27,-0.003647203353600137,0.026145782949645858,-0.029792986303245995,122,25,25,26
202222,2022-06-03,-0.04580722901626249,-0.04632681420856783,0.0005195851923053413,117,24,24,26
202223,2022-06-10,-0.08511981511047172,-0.2077998438084078,0.12268002869793608,123,25,25,26
202224,2022-06-17,0.046202715920729893,0.26066110059405273,-0.21445838467332284,114,23,23,26
202225,2022-06-24,-0.20068711959405117,-0.0018436943806583628,-0.1988434252133928,128,26,26,26
202226,2022-07-01,0.14547988276414955,0.05817114348731593,0.08730873927683362,126,26,26,26
202227,2022-07-08,-0.03271879928619373,-0.011474721886071116,-0.021244077400122612,131,27,27,26
202228,2022-07-15,0.21223490055452285,0.014716632888683953,0.1975182676658389,134,27,27,26
202229,2022-07-22,0.09723653157298204,-0.011026844119185584,0.10826337569216762,131,27,27,26
202230,2022-07-29,0.07471405967379188,0.009877030444606218,0.06483702922918566,130,26,26,28
202231,2022-08-05,0.0721584691253655,0.04193016940017395,0.030228299725191546,123,25,25,28
202232,2022-08-12,-0.19644584738783394,-0.022643283292108168,-0.17380256409572578,130,26,26,28
202233,2022-08-19,-0.03750832176745325,-0.017571049802681208,-0.019937271964772043,131,27,27,28
202234,2022-08-26,-0.002412661894254065,0.017086648090566252,-0.019499309984820315,122,25,25,28
202235,2022-09-02,0.0677452525998431,0.06454960150277983,0.003195651097063268,112,23,23,28
202236,2022-09-09,-0.1945627295361046,-0.009758783194078196,-0.1848039463420264,129,26,26,28
202237,2022-09-16,0.014644010317783106,-0.028717141909559978,0.04336115222734308,112,23,23,28
202238,2022-09-23,-0.0464826828055762,-0.013763933808380877,-0.032718748997195325,112,23,23,28
202239,2022-09-30,0.014335587878854267,-0.009639996163489104,0.023975584042343373,120,24,24,28
202240,2022-10-07,-0.02160888988988898,-0.12297717091224979,0.10136828102236081,108,22,22,28
202241,2022-10-14,-0.00218200956296993,-0.03134555605620078,0.029163546493230847,110,22,22,28
202242,2022-10-21,0.0036419975386368796,0.08641760247104383,-0.08277560493240695,103,21,21,28
202243,2022-10-28,0.06851515405377114,0.015583724354619022,0.05293142969915211,106,22,22,28
202244,2022-11-04,-0.2090264619496843,-0.03450539133858243,-0.17452107061110186,126,26,26,28
202245,2022-11-11,-0.009060096758012814,-0.05742831767507109,0.04836822091705827,117,24,24,28
202246,2022-11-18,-0.1056435200004151,-0.01142049113033097,-0.09422302887008413,98,20,20,28
202247,2022-11-25,0.03587004800997939,0.03587004800997939,0.0,113,113,113,28
202248,2022-12-02,-0.03219275254741297,-0.007092340256753742,-0.025100412290659225,111,23,23,28
